taxon min max
Shinisaurus_crocodilurus 0 0
Xenosaurus_platyceps 0 0
Xenosaurus_grandis 0 0
Pseudopus_apodus 0 0
Peltosaurus_granulosus 33.3 33.9
Helodermoides_tuberculatus 33.9 37.2
Celestus_enneagrammus 0 0
Elgaria_multicarinata 0 0
Proplatynotia_longirostrata 72.1 83.6
Gobiderma_pulchrum 72.1 83.6
Heloderma_horridum 0 0
Heloderma_suspectum 0 0
Lanthanotus_borneensis 0 0
Saniwa 33.9 63.3
Varanus_salvator 0 0
Varanus_acanthurus 0 0
Varanus_exanthematicus 0 0
Coniophis_precedens 66 72.1
Najash_rionegrina 93.9 100.5
Dinilysia_patagonica 72.1 86.3
Rena_dulcis 0 0
Typhlops_jamaicensis 0 0
Liotyphlops_albirostris 0 0
Typhlophis_squamosus 0 0
Sanajeh_indicus 66.0 72.1
Wonambi_naracoortensis 0.0117 28.1
Yurlunggur 0.0117 28.1
Anilius_scytale 0 0
Cylindrophis_ruffus 0 0
Anomochilus_leonardi 0 0
Uropeltis_melanogaster 0 0
Haasiophis_terrasanctus 93.9 100.5
Eupodophis_descouensis 93.9 100.5
Pachyrhachis_problematicus 93.9 100.5
Xenopeltis_unicolor 0 0
Loxocemus_bicolor 0 0
Casarea_dussumieri 0 0
Xenophidion_acanthognathus 0 0
Exiliboa_placata 0 0
Ungaliophis_continentalis 0 0
Lichanura_trivirgata 0 0
Calabaria_reinhardtii 0 0
Eryx_colubrinus 0 0
Epicrates_striatus 0 0
Boa_constrictor 0 0
Aspidites_melanocephalus 0 0
Python_molurus 0 0
Trachyboa_boulengeri 0 0
Tropidophis_haetianus 0 0
Kataria_anisodonta 61.6 66.0
Xenodermus_javanicus 0 0
Acrochordus_granulatus 0 0
Pareas_hamptoni 0 0
Lycophidion_capense 0 0
Aparallactus_werneri 0 0
Atractaspis_irregularis 0 0
Azemiops_feae 0 0
Causus_rhombeatus 0 0
Daboia_russelli 0 0
Bothrops_asper 0 0
Agkistrodon_contortrix 0 0
Lachesis_muta 0 0
Micrurus_fulvius 0 0
Naja_naja 0 0
Laticauda_colubrina 0 0
Notechis_scutatus 0 0
Natrix_natrix 0 0
Thamnophis_marcianus 0 0
Amphiesma_stolata 0 0
Afronatrix_anoscopus 0 0
Xenochrophis_piscator 0 0
Lampropeltis_getula 0 0
Coluber_constrictor 0 0
